dataset_key,decision,role,source,artifact_references,existing_file_objects,directory_objects,direct_file_bytes,exclusive_direct_file_bytes,additional_direct_file_bytes_in_order,covered_by,view_references,lineage_referenced_by,issues,reason,notes
aishell3@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:20,4,4,0,7240547,0,7240547,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aishell3@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:15,4,4,0,7240547,0,0,aishell3@icefall-20260908,aishell3/hotwords@v1-20260805:source,aishell3@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aishell3_hotwords@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:16,2,2,0,1309830,0,0,aishell3@icefall-20260908;aishell3_hotwords@hotwords-v1-20260805,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aishell3_hotwords@hotwords-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:16,4,4,0,7556257,5238208,6157781,aishell3@icefall-20260908,aishell3/hotwords@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aishell4@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:21,8,8,0,4210560,3244234,4210560,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aishell4@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:16,4,4,0,966326,0,0,aishell4@icefall-20260908,,aishell4@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aishell5@1.0,hold,下载来源声明,catalog/download_queue.jsonl:1,5,5,0,65196261376,65196261376,0,,,,expected_size_mismatch,路径未就绪或大小与登记不符；不作为可替代版本。,
aishell@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:1,2,2,0,373992,0,0,aishell@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aishell@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:18,6,6,0,7303515,0,7303515,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aishell@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:13,6,6,0,7303515,0,0,aishell@icefall-20260908,aishell/clean@v1-20260805:source;aishell/hotwords@v1-20260805:source,aishell@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aishell_clean@clean-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:12,2,2,0,393355,292017,292017,aishell@icefall-20260908,aishell/clean@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aishell_hotwords@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:14,2,2,0,408233,0,0,aishell@icefall-20260908;aishell_hotwords@hotwords-v1-20260805,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aishell_hotwords@hotwords-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:13,4,4,0,7007323,4917671,5224566,aishell@icefall-20260908,aishell/hotwords@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
alimeeting@openslr-119-far-local-20260903,retain,源数据或独立产物,catalog/alimeeting_far_raw.jsonl:1,4,1,3,30505,30505,30505,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,Train 与 Eval 的 434 个文件和 legacy_asr 下副本逐文件 SHA-256 一致；Test_2023 未证明覆盖，继续保留。
alimeeting@openslr-119-local-20260826,retain,源数据或独立产物,catalog/multilingual_multispeaker.jsonl:1,13,9,4,13603536,13603536,13603536,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
alimeeting_sdm@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:44,6,6,0,6262049,6262049,6262049,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
ami_sdm@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:45,6,6,0,11092764,11092764,11092764,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
audioset_esc_test@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:45,1,1,0,413904,413904,413904,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
banspeech_bn@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:5,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
biic_podcast_ser@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:25,2,2,0,282983,282983,282983,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cbtts_bn@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:6,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
childmandarin@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:30,3,3,0,2038607,0,2038607,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
childmandarin@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:25,3,3,0,2038607,0,0,childmandarin@icefall-20260908,,childmandarin@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
cml_tts_fr@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:22,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common-voice-en@26.0,hold,下载来源声明,catalog/download_queue.jsonl:2,1,0,0,0,0,0,,,,unconfigured_root,路径未就绪或大小与登记不符；不作为可替代版本。,
common-voice-yue@26.0,hold,下载来源声明,catalog/download_queue.jsonl:5,1,0,0,0,0,0,,,,unconfigured_root,路径未就绪或大小与登记不符；不作为可替代版本。,
common-voice-zh-cn@26.0,hold,下载来源声明,catalog/download_queue.jsonl:3,1,0,0,0,0,0,,,,unconfigured_root,路径未就绪或大小与登记不符；不作为可替代版本。,
common-voice-zh-hk@26.0,hold,下载来源声明,catalog/download_queue.jsonl:4,1,0,0,0,0,0,,,,unconfigured_root,路径未就绪或大小与登记不符；不作为可替代版本。,
common_voice_ar@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:1,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_bn@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:7,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_de@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:12,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_en@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:4,8,8,0,135194561,0,135194561,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_en@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:4,6,6,0,73308711,0,0,common_voice_en@icefall-20260908,common_voice_en/clean@v1-20260805:source;common_voice_en/hotwords@v1-20260805:source,common_voice_en@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
common_voice_es@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:18,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_fr@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:23,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_ja@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:27,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_ko@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:31,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_ru@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:36,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_zh@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:28,7,7,0,4237461,0,4237461,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_zh@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:23,6,6,0,3460023,0,0,common_voice_zh@icefall-20260908,common_voice_zh/clean@v1-20260805:source;common_voice_zh/hotwords@v1-20260805:source,common_voice_zh@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
common_voice_zh_hk@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:42,6,6,0,1210151,0,1210151,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
common_voice_zh_hk@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:37,6,6,0,1210151,0,0,common_voice_zh_hk@icefall-20260908,,common_voice_zh_hk@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
commonvoice_en@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:10,3,3,0,3839411,1800729,1800729,common_voice_en@icefall-20260908,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
commonvoice_en_clean@clean-v1-20260805,reference_only,清洗或热词视图,catalog/local_lhotse_derived.jsonl:8,4,4,0,76137384,0,0,common_voice_en@icefall-20260908,common_voice_en/clean@v1-20260805:result,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,清洗文件的已知筛选缺口见 docs/cv-en-cleaning.md；覆盖关系不代表质量通过。
commonvoice_en_hotwords@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:12,2,2,0,2155157,0,0,common_voice_en@icefall-20260908;commonvoice_en_hotwords@hotwords-v1-20260805,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
commonvoice_en_hotwords@hotwords-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:9,4,4,0,82417617,66283814,68166083,common_voice_en@icefall-20260908,common_voice_en/hotwords@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
commonvoice_zh@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:11,2,2,0,901126,0,0,common_voice_zh@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
commonvoice_zh_clean@clean-v1-20260805,reference_only,清洗或热词视图,catalog/local_lhotse_derived.jsonl:10,2,2,0,925183,0,0,common_voice_zh@icefall-20260908,common_voice_zh/clean@v1-20260805:result,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
commonvoice_zh_hotwords@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:13,2,2,0,986357,0,0,common_voice_zh@icefall-20260908;commonvoice_zh_hotwords@hotwords-v1-20260805,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
commonvoice_zh_hotwords@hotwords-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:11,4,4,0,3032117,1658659,2497271,common_voice_zh@icefall-20260908,common_voice_zh/hotwords@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cs_dialogue@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:33,6,6,0,1635060,0,1635060,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cs_dialogue@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:28,6,6,0,1635060,0,0,cs_dialogue@icefall-20260908,,cs_dialogue@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
cs_dialogue_en@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:34,6,6,0,794352,0,794352,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cs_dialogue_en@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:29,6,6,0,794352,0,0,cs_dialogue_en@icefall-20260908,,cs_dialogue_en@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
cs_dialogue_mix@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:35,6,6,0,897965,0,897965,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cs_dialogue_mix@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:30,6,6,0,897965,0,0,cs_dialogue_mix@icefall-20260908,,cs_dialogue_mix@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
cumix2017@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:36,2,2,0,586862,0,586862,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cumix2017@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:31,2,2,0,586862,0,0,cumix2017@icefall-20260908,,cumix2017@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
cv_en_noise_audioset_esc@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:55,2,2,0,2032735,1789233,2032735,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_audioset_esc_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:77,2,2,0,2114712,1871210,1871210,cv_en_noise_audioset_esc@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_audioset_traffic@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:54,2,2,0,2033344,1789237,2033344,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_audioset_traffic_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:76,2,2,0,2115321,1871214,1871214,cv_en_noise_audioset_traffic@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_dns@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:53,2,2,0,2031546,1789224,2031546,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_dns_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:75,2,2,0,2113523,1871201,1871201,cv_en_noise_dns@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_musan_music@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:51,2,2,0,2032707,1789232,2032707,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_musan_music_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:73,2,2,0,2114684,1871209,1871209,cv_en_noise_musan_music@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_musan_noise@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:50,2,2,0,2032706,1789232,2032706,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_musan_noise_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:72,2,2,0,2114683,1871209,1871209,cv_en_noise_musan_noise@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_musan_speech@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:52,2,2,0,2032740,1789233,2032740,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_musan_speech_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:74,2,2,0,2114717,1871210,1871210,cv_en_noise_musan_speech@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_wham@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:56,2,2,0,2031797,1789225,2031797,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_noise_wham_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:78,2,2,0,2113774,1871202,1871202,cv_en_noise_wham@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_rir_rirmega@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:49,2,2,0,2031806,1789226,2031806,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_rir_rirmega_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:71,2,2,0,2113783,1871203,1871203,cv_en_rir_rirmega@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_rir_slr26@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:46,2,2,0,2031544,1789224,2031544,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_rir_slr26_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:68,2,2,0,2113521,1871201,1871201,cv_en_rir_slr26@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_rir_slr28_real@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:48,2,2,0,2032282,1789229,2032282,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_rir_slr28_real_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:70,2,2,0,2114259,1871206,1871206,cv_en_rir_slr28_real@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_rir_slr28_sim@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:47,2,2,0,2032189,1789228,2032189,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_en_rir_slr28_sim_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:69,2,2,0,2114166,1871205,1871205,cv_en_rir_slr28_sim@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_audioset_esc@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:66,2,2,0,895513,754703,895513,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_audioset_esc_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:88,2,2,0,960091,819281,819281,cv_zh_noise_audioset_esc@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_audioset_traffic@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:65,2,2,0,895692,754707,895692,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_audioset_traffic_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:87,2,2,0,960270,819285,819285,cv_zh_noise_audioset_traffic@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_dns@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:64,2,2,0,894791,754694,894791,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_dns_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:86,2,2,0,959369,819272,819272,cv_zh_noise_dns@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_musan_music@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:62,2,2,0,895470,754702,895470,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_musan_music_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:84,2,2,0,960048,819280,819280,cv_zh_noise_musan_music@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_musan_noise@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:61,2,2,0,895469,754702,895469,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_musan_noise_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:83,2,2,0,960047,819280,819280,cv_zh_noise_musan_noise@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_musan_speech@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:63,2,2,0,895518,754703,895518,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_musan_speech_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:85,2,2,0,960096,819281,819281,cv_zh_noise_musan_speech@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_wham@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:67,2,2,0,894970,754695,894970,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_noise_wham_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:89,2,2,0,959548,819273,819273,cv_zh_noise_wham@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_rir_rirmega@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:60,2,2,0,894986,754696,894986,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_rir_rirmega_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:82,2,2,0,959564,819274,819274,cv_zh_rir_rirmega@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_rir_slr26@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:57,2,2,0,894790,754694,894790,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_rir_slr26_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:79,2,2,0,959368,819272,819272,cv_zh_rir_slr26@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_rir_slr28_real@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:59,2,2,0,895164,754699,895164,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_rir_slr28_real_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:81,2,2,0,959742,819277,819277,cv_zh_rir_slr28_real@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_rir_slr28_sim@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:58,2,2,0,895161,754698,895161,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
cv_zh_rir_slr28_sim_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:80,2,2,0,959739,819276,819276,cv_zh_rir_slr28_sim@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emilia_en@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:17,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emilia_ja@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:28,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emilia_ko@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:32,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emilia_zh@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:17,1,1,0,1173986892,0,1173986892,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emilia_zh@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:41,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emilia_zh@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:12,1,1,0,1173986892,0,0,emilia_zh@icefall-20260908,,emilia_zh@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
